time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;1.5;0.5;0.02
0.001076;6.23287e-09;-1.7195e-09;-0.0684582;1.5;0.5;0.02
0.002031;6.48083e-09;-2.02754e-09;-0.0616658;1.5;0.5;0.02
0.003105;6.62522e-09;-2.0294e-09;-0.0324966;1.5;0.5;0.02
0.004060;6.81672e-09;-1.89178e-09;-0.035219;1.5;0.5;0.02
0.005014;6.90676e-09;-8.52217e-11;-0.0441589;1.5;0.5;0.02
0.006089;6.47632e-09;2.43785e-10;-0.0324819;1.5;0.5;0.02
0.007045;-2.31446e-08;1.04623e-07;-0.0200436;1.5;0.5;0.02
0.008119;3.74823e-09;9.99728e-09;-0.0206218;1.5;0.5;0.02
0.009074;-4.39269e-08;-7.25986e-08;-0.0207644;1.5;0.5;0.02
0.010030;-1.28029e-07;1.52156e-07;-0.0131492;1.5;0.5;0.02
0.011102;1.94282e-07;3.51445e-07;-0.00496517;1.5;0.5;0.02
0.012057;5.68286e-07;-2.48496e-07;-0.000922008;1.5;0.5;0.02
0.013012;2.1358e-08;-7.69162e-08;0.00442007;1.5;0.5;0.02
0.014085;-1.70608e-07;-2.23607e-07;0.00938922;1.5;0.5;0.02
0.015039;6.75358e-07;-8.29507e-07;0.00735051;1.5;0.5;0.02
0.016113;3.82036e-08;-3.92898e-07;0.00044884;1.5;0.5;0.02
0.017066;-7.01654e-07;1.47325e-07;-0.00401372;1.5;0.5;0.02
0.018018;2.51362e-07;1.84491e-08;-0.00674349;1.5;0.5;0.02
0.019091;3.22241e-07;-4.56835e-07;-0.0111086;1.5;0.5;0.02
0.020045;-1.29064e-06;-6.19617e-08;-0.016187;1.5;0.5;0.02
0.021117;-7.59161e-07;1.05767e-07;-0.0221231;1.5;0.5;0.02
0.022070;7.98536e-07;-3.85323e-07;-0.0296918;1.5;0.5;0.02
0.023022;1.07773e-07;-2.7607e-07;-0.0419843;1.5;0.5;0.02
0.024093;-7.865e-07;8.24389e-07;-0.0592311;1.5;0.5;0.02
0.025045;2.5556e-07;1.07441e-06;-0.0696735;1.5;0.5;0.02
0.026116;6.76106e-07;3.49536e-07;-0.06457;1.5;0.5;0.02
0.027068;-5.11942e-07;3.91638e-07;-0.0407187;1.5;0.5;0.02
0.028019;-1.58288e-06;6.03306e-07;-0.0045746;1.5;0.5;0.02
0.029089;-4.04743e-06;9.06102e-08;0.0327777;1.5;0.5;0.02
0.030040;-1.0221e-05;-2.68844e-08;0.0472431;1.5;0.5;0.02
0.031109;-2.40531e-05;3.05755e-07;0.0393033;1.5;0.5;0.02
