time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;2.5;0.25;0.02
0.001076;6.43674e-09;-2.02063e-09;-0.068675;2.5;0.25;0.02
0.002031;7.13062e-09;-5.66123e-07;-0.0618649;2.5;0.25;0.02
0.003105;-1.33604e-09;-4.86599e-05;-0.0325669;2.5;0.25;0.02
0.004060;3.7083e-10;-0.000477961;-0.0348822;2.5;0.25;0.02
0.005014;2.60619e-09;-0.00209042;-0.04187;2.5;0.25;0.02
0.006089;7.4834e-08;-0.00546142;-0.0245439;2.5;0.25;0.02
0.007045;7.37621e-07;-0.00765314;-0.0061098;2.5;0.25;0.02
0.008119;8.38556e-06;-0.00743362;-0.00482031;2.5;0.25;0.02
0.009074;5.37451e-05;-0.00774257;-0.00901302;2.5;0.25;0.02
0.010030;0.000230939;-0.0110412;-0.00740505;2.5;0.25;0.02
0.011102;0.000815578;-0.0145681;-0.00595677;2.5;0.25;0.02
0.012057;0.00183729;-0.01359;-0.009041;2.5;0.25;0.02
0.013012;0.00316059;-0.0114094;-0.00995669;2.5;0.25;0.02
0.014085;0.00435703;-0.0125374;-0.005885;2.5;0.25;0.02
0.015039;0.00481392;-0.0142641;-0.00489073;2.5;0.25;0.02
0.016113;0.00523775;-0.0128962;-0.00924747;2.5;0.25;0.02
0.017066;0.00627352;-0.0107839;-0.0114482;2.5;0.25;0.02
0.018018;0.0077902;-0.00957154;-0.0101172;2.5;0.25;0.02
0.019091;0.00918743;-0.00791223;-0.00968689;2.5;0.25;0.02
0.020045;0.00997231;-0.00605682;-0.0115576;2.5;0.25;0.02
0.021117;0.0109212;-0.00489343;-0.0148552;2.5;0.25;0.02
0.022070;0.0120699;-0.00449553;-0.0212845;2.5;0.25;0.02
0.023022;0.0134679;-0.00420607;-0.0315826;2.5;0.25;0.02
0.024093;0.0153819;-0.00473221;-0.0422044;2.5;0.25;0.02
0.025045;0.0173307;-0.00628511;-0.0461998;2.5;0.25;0.02
0.026116;0.0197704;-0.00843726;-0.0406356;2.5;0.25;0.02
0.027068;0.022556;-0.00998677;-0.0234934;2.5;0.25;0.02
0.028019;0.0260533;-0.0105933;0.000913361;2.5;0.25;0.02
0.029089;0.0300563;-0.00973575;0.0217524;2.5;0.25;0.02
0.030040;0.0331262;-0.00815299;0.0262991;2.5;0.25;0.02
0.031109;0.0363979;-0.00646652;0.0213144;2.5;0.25;0.02
0.032060;0.0392708;-0.00547318;0.0160824;2.5;0.25;0.02
0.033010;0.0417751;-0.00472813;0.0133366;2.5;0.25;0.02
0.034078;0.0444565;-0.00347323;0.0106683;2.5;0.25;0.02
0.035028;0.0472009;-0.00171824;0.00373486;2.5;0.25;0.02
0.036095;0.0502356;0.000475632;-0.00906021;2.5;0.25;0.02
0.037044;0.0526278;0.00215088;-0.0172193;2.5;0.25;0.02
0.038111;0.0557216;0.00370571;-0.0175127;2.5;0.25;0.02
0.039060;0.0589177;0.00487979;-0.014361;2.5;0.25;0.02
0.040008;0.0618678;0.00562292;-0.0121711;2.5;0.25;0.02
